Profile	ID	A	I_YY	I_ZZ	As_y	As_z	It	Ip	Mass	Shear_center_y	Shear_center_z
SHS 200 / 5	1065	0.003873	0.00002445	0.00002445	0.001937	0.001937	0.00003756	0.00007512	30.4	0	0
SHS 200 / 6.3	1066	0.004839	0.00003011	0.00003011	0.002419	0.002419	0.00004653	0.00009306	38	0	0
SHS 200 / 8	1067	0.006075	0.00003709	0.00003709	0.003038	0.003038	0.00005778	0.00011556	47.7	0	0
SHS 200 / 10	1068	0.007493	0.00004471	0.00004471	0.003746	0.003746	0.00007031	0.00014062	58.8	0	0
SHS 200 / 12.5	1069	0.009207	0.00005336	0.00005336	0.004604	0.004604	0.00008491	0.00016982	72.3	0	0
SHS 200 / 14.2	1070	0.010337	0.00005872	0.00005872	0.005169	0.005169	0.00009417	0.00018834	81.1	0	0
SHS 200 / 16	1071	0.011501	0.00006394	0.00006394	0.005751	0.005751	0.0001034	0.0002068	90.3	0	0
SHS 220 / 6.3	1072	0.005343	0.00004049	0.00004049	0.002671	0.002671	0.0000624	0.0001248	41.9	0	0
SHS 220 / 8	1073	0.006715	0.00005002	0.00005002	0.003358	0.003358	0.00007765	0.0001553	52.7	0	0
SHS 220 / 10	1074	0.008293	0.0000605	0.0000605	0.004146	0.004146	0.00009473	0.00018946	65.1	0	0
SHS 220 / 12.5	1075	0.010207	0.00007254	0.00007254	0.005104	0.005104	0.0001148	0.0002296	80.1	0	0
SHS 220 / 14.2	1076	0.011473	0.00008007	0.00008007	0.005737	0.005737	0.0001277	0.0002554	90.1	0	0
SHS 220 / 16	1077	0.012781	0.00008749	0.00008749	0.006391	0.006391	0.0001405	0.000281	100.3	0	0
SHS 250 / 6.3	1078	0.006099	0.00006014	0.00006014	0.003049	0.003049	0.00009238	0.00018476	47.9	0	0
SHS 250 / 8	1079	0.007675	0.00007455	0.00007455	0.003838	0.003838	0.0001153	0.0002306	60.3	0	0
SHS 250 / 10	1080	0.009493	0.00009055	0.00009055	0.004746	0.004746	0.0001411	0.0002822	74.5	0	0
SHS 250 / 12.5	1081	0.011707	0.0001092	0.0001092	0.005854	0.005854	0.0001716	0.0003432	91.9	0	0
SHS 250 / 14.2	1082	0.013177	0.0001209	0.0001209	0.006589	0.006589	0.0001914	0.0003828	103.4	0	0
